,,TIME SPENT,,,,,,SIZE SOLUTION,,,,,BEST SOLVER,,,
,SOLVER,GREEDY,RANDOM 0.5,RANDOM 1.0,RANDOM 2.0,BRUTE,,GREEDY,RANDOM 0.5,RANDOM 1.0,RANDOM 2.0,,BEST_GREEDY,BEST_R05,BEST_R10,BEST_R20
NB ATT,Sheet1,,,,,,,,,,,,,,,
1,AVR:,0.001964237689972,0.463900361061096,0.690434191226959,0.917274553775787,0.000887186527252,,1,1,1,1,,0.97,0.97,0.97,0.97
1,VAR:,0.000120131602346,0.0062834702152,0.060604891504058,0.388987428899615,4.11592855814457E-07,,0.060606060606061,0.060606060606061,0.060606060606061,0.060606060606061,,0.029393939393939,0.029393939393939,0.029393939393939,0.029393939393939
1,STDEV:,0.010960456301896,0.079268343083478,0.246180607489822,0.623688567234974,0.000641555029451,,0.246182981958665,0.246182981958665,0.246182981958665,0.246182981958665,,0.171446607997765,0.171446607997765,0.171446607997765,0.171446607997765
1,MED:,5.69820404052734E-05,0.500770688056946,0.664193987846375,0.664723634719849,0.000743627548218,,1,1,1,1,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet2,,,,,,,,,,,,,,,
2,AVR:,0.010045094490051,0.503051280975342,0.962486171722412,1.23728080749512,0.004339435100555,,1.95,1.95,1.95,1.95,,0.96,0.96,0.96,0.96
2,VAR:,0.003049672692374,0.00015936890681,0.010502912343964,0.132756958735916,4.38419909891874E-06,,0.22979797979798,0.22979797979798,0.22979797979798,0.22979797979798,,0.038787878787879,0.038787878787879,0.038787878787879,0.038787878787879
2,STDEV:,0.055223841702419,0.012624139844376,0.102483717457771,0.36435828347372,0.002093847916855,,0.479372485441102,0.479372485441102,0.479372485441102,0.479372485441102,,0.196946385566932,0.196946385566932,0.196946385566932,0.196946385566932
2,MED:,0.000199794769287,0.503990292549133,1.00205886363983,1.15802657604218,0.004212141036987,,2,2,2,2,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet3,,,,,,,,,,,,,,,
3,AVR:,0.009871780872345,0.510301911830902,1.00548170089722,1.83225261926651,0.010855040550232,,2.94,2.94,2.94,2.94,,0.98,0.98,0.98,0.98
3,VAR:,0.002276894983388,1.71821225968137E-05,7.3317534360276E-06,0.064130572940372,2.12142935259575E-05,,0.279191919191919,0.279191919191919,0.279191919191919,0.279191919191919,,0.01979797979798,0.01979797979798,0.01979797979798,0.01979797979798
3,STDEV:,0.047716820759436,0.004145132397984,0.00270772107796,0.253240148752862,0.00460589768948,,0.528386145912172,0.528386145912172,0.528386145912172,0.528386145912172,,0.14070529413629,0.14070529413629,0.14070529413629,0.14070529413629
3,MED:,0.000447034835815,0.510203003883362,1.00510323047638,1.9922730922699,0.010751008987427,,3,3,3,3,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet4,,,,,,,,,,,,,,,
4,AVR:,0.074248349666596,0.516244480609894,1.00870049953461,2.00103101015091,0.08068630695343,,4.07,4.06,4.06,4.06,,0.97,0.98,0.98,0.98
4,VAR:,0.029998648023814,5.58675428110096E-05,1.72671431744335E-05,0.002216573082822,0.068047775127117,,0.510202020202019,0.501414141414141,0.501414141414141,0.501414141414141,,0.029393939393939,0.01979797979798,0.01979797979798,0.01979797979798
4,STDEV:,0.173201177893841,0.007474459365801,0.004155375214639,0.047080495779274,0.260859684748557,,0.714284271282813,0.708106024133491,0.708106024133491,0.708106024133491,,0.171446607997765,0.14070529413629,0.14070529413629,0.14070529413629
4,MED:,0.000813007354736,0.515728354454041,1.00809502601624,2.00783324241638,0.022822618484497,,4,4,4,4,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet5,,,,,,,,,,,,,,,
5,AVR:,0.029596588611603,0.526949970722199,1.01218776464462,2.01189062833786,,,4.87,4.86,4.86,4.86,,0.96,0.97,0.97,0.97
5,VAR:,0.013063918809893,0.000110667807082,2.75776107344489E-05,2.63848252052125E-05,,,0.922323232323233,0.909494949494948,0.909494949494948,0.909494949494948,,0.038787878787879,0.029393939393939,0.029393939393939,0.029393939393939
5,STDEV:,0.114297501328303,0.010519876761709,0.005251438920377,0.005136616123988,,,0.960376609629386,0.953674446283924,0.953674446283924,0.953674446283924,,0.196946385566932,0.171446607997765,0.171446607997765,0.171446607997765
5,MED:,0.001130104064941,0.5258868932724,1.01128911972046,2.01077401638031,,,5,5,5,5,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet6,,,,,,,,,,,,,,,
6,AVR:,0.07789008140564,0.53553537607193,1.01633152008057,2.0157470870018,,,5.54,5.54,5.52,5.51,,0.89,0.89,0.91,0.92
6,VAR:,0.034037850612079,0.000235943612601,4.11125245188551E-05,3.67959895093273E-05,,,2.89737373737373,2.93777777777778,2.87838383838384,2.85848484848485,,0.098888888888889,0.098888888888889,0.082727272727273,0.074343434343435
6,STDEV:,0.184493497479123,0.015360456132585,0.006411904905631,0.00606596979133,,,1.70216736467767,1.71399468429099,1.69658004184413,1.69070542924687,,0.31446603773522,0.31446603773522,0.287623491264661,0.272659924344291
6,MED:,0.001662254333496,0.536633849143982,1.016228556633,2.01540791988373,,,6,6,6,6,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet7,,,,,,,,,,,,,,,
7,AVR:,0.0688139295578,0.547831170558929,1.02194926977158,2.0214220905304,,,6.24,6.25,6.23,6.22,,0.88,0.87,0.89,0.9
7,VAR:,0.03328071000324,0.000271450904882,5.87836643408346E-05,5.4669388676284E-05,,,4.77010101010102,4.77525252525253,4.72434343434343,4.69858585858587,,0.106666666666667,0.114242424242424,0.098888888888889,0.090909090909091
7,STDEV:,0.182430013986845,0.016475767201631,0.007667050563341,0.007393875078488,,,2.1840560913358,2.18523511898663,2.17355548223261,2.16762216693451,,0.326598632371091,0.337997668989631,0.31446603773522,0.301511344577763
7,MED:,0.002128124237061,0.548688888549805,1.02033770084381,2.01988160610199,,,7,7,7,7,,1,1,1,1
,,,,,,,,,,,,,,,,
,Sheet8,,,,,,,,,,,,,,,
8,AVR:,0.092102062702179,0.557575716972351,1.02587826013565,2.02504256725311,,,6.66,6.64,6.64,6.62,,0.79,0.81,0.81,0.83
8,VAR:,0.043134678852301,0.000566270698445,9.50572670991918E-05,8.53841187244363E-05,,,9.4589898989899,9.38424242424243,9.38424242424243,9.30868686868687,,0.167575757575758,0.155454545454545,0.155454545454545,0.142525252525253
8,STDEV:,0.207688899203353,0.023796442978831,0.009749731642419,0.009240352738096,,,3.07554708937937,3.06337108823636,3.06337108823636,3.05101407218762,,0.409360180740333,0.394277244403662,0.394277244403662,0.377525168068637
8,MED:,0.002843856811523,0.559641242027283,1.02486670017242,2.02423369884491,,,8,8,8,8,,1,1,1,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,TIME GEN GRAPH,,,,,,,,,,,,,,
NB ATT,,,,,,,,,,,,,,,,
1,AVR:,0.105557837486267,,,,,,,,,,,,,,
1,VAR:,8.31168431342819E-05,,,,,,,,,,,,,,
1,STDEV:,0.009116843923984,,,,,,,,,,,,,,
1,MED:,0.103740692138672,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,AVR:,0.200250835418701,,,,,,,,,,,,,,
2,VAR:,0.000148783307549,,,,,,,,,,,,,,
2,STDEV:,0.012197676317619,,,,,,,,,,,,,,
2,MED:,0.196353793144226,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,AVR:,0.295953943729401,,,,,,,,,,,,,,
3,VAR:,0.000178757733458,,,,,,,,,,,,,,
3,STDEV:,0.013370031168927,,,,,,,,,,,,,,
3,MED:,0.292588710784912,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,AVR:,0.404234449863434,,,,,,,,,,,,,,
4,VAR:,0.000451473819553,,,,,,,,,,,,,,
4,STDEV:,0.021247913298791,,,,,,,,,,,,,,
4,MED:,0.399226427078247,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,AVR:,0.49997967004776,,,,,,,,,,,,,,
5,VAR:,0.000434489977865,,,,,,,,,,,,,,
5,STDEV:,0.020844423183781,,,,,,,,,,,,,,
5,MED:,0.494695782661438,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,AVR:,0.598442780971527,,,,,,,,,,,,,,
6,VAR:,0.000560910366745,,,,,,,,,,,,,,
6,STDEV:,0.023683546329582,,,,,,,,,,,,,,
6,MED:,0.592941403388977,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,AVR:,0.696216804981232,,,,,,,,,,,,,,
7,VAR:,0.000442497447679,,,,,,,,,,,,,,
7,STDEV:,0.021035623301407,,,,,,,,,,,,,,
7,MED:,0.691413998603821,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,AVR:,0.799321019649506,,,,,,,,,,,,,,
8,VAR:,0.000684333738372,,,,,,,,,,,,,,
8,STDEV:,0.02615977328594,,,,,,,,,,,,,,
8,MED:,0.796780347824097,,,,,,,,,,,,,,
